date,close,eps,pe,revenue,symbol
1/2/2018 16:00,17.14,3.88,4.417525773,1420,CSIQ
1/3/2018 16:00,17.07,3.88,4.399484536,1420,CSIQ
1/4/2018 16:00,17.06,3.88,4.396907216,1420,CSIQ
1/5/2018 16:00,17.01,3.88,4.384020619,1420,CSIQ
1/8/2018 16:00,17.1,3.88,4.407216495,1420,CSIQ
1/9/2018 16:00,16.95,3.88,4.368556701,1420,CSIQ
1/10/2018 16:00,16.93,3.88,4.363402062,1420,CSIQ
1/11/2018 16:00,17.3,3.88,4.458762887,1420,CSIQ
1/12/2018 16:00,16.55,3.88,4.265463918,1420,CSIQ
1/16/2018 16:00,16.39,3.88,4.224226804,1420,CSIQ
1/17/2018 16:00,16.32,3.88,4.206185567,1420,CSIQ
1/18/2018 16:00,15.86,3.88,4.087628866,1420,CSIQ
1/19/2018 16:00,15.8,3.88,4.072164948,1420,CSIQ
1/22/2018 16:00,15.77,3.88,4.06443299,1420,CSIQ
1/23/2018 16:00,15.64,3.88,4.030927835,1420,CSIQ
1/24/2018 16:00,15.54,3.88,4.005154639,1420,CSIQ
1/25/2018 16:00,15.94,3.88,4.108247423,1420,CSIQ
1/26/2018 16:00,16.05,3.88,4.136597938,1420,CSIQ
1/29/2018 16:00,16.03,3.88,4.131443299,1420,CSIQ
1/30/2018 16:00,15.61,3.88,4.023195876,1420,CSIQ
1/31/2018 16:00,15.41,3.88,3.971649485,1420,CSIQ
2/1/2018 16:00,15.51,3.88,3.99742268,1420,CSIQ
2/2/2018 16:00,15.41,3.88,3.971649485,1420,CSIQ
2/5/2018 16:00,15.34,3.88,3.953608247,1420,CSIQ
2/6/2018 16:00,15.44,3.88,3.979381443,1420,CSIQ
2/7/2018 16:00,15.43,3.88,3.976804124,1420,CSIQ
2/8/2018 16:00,15.15,3.88,3.904639175,1420,CSIQ
2/9/2018 16:00,14.89,3.88,3.837628866,1420,CSIQ
2/12/2018 16:00,15.51,3.88,3.99742268,1420,CSIQ
2/13/2018 16:00,15.83,3.88,4.079896907,1420,CSIQ
2/14/2018 16:00,15.78,3.88,4.067010309,1420,CSIQ
2/15/2018 16:00,15.87,3.88,4.090206186,1420,CSIQ
2/16/2018 16:00,15.73,3.88,4.054123711,1420,CSIQ
2/20/2018 16:00,15.73,3.88,4.054123711,1420,CSIQ
2/21/2018 16:00,15.64,3.88,4.030927835,1420,CSIQ
2/22/2018 16:00,15.55,3.88,4.007731959,1420,CSIQ
2/23/2018 16:00,15.46,3.88,3.984536082,1420,CSIQ
2/26/2018 16:00,15.79,3.88,4.069587629,1420,CSIQ
2/27/2018 16:00,15.52,3.88,4,1420,CSIQ
2/28/2018 16:00,15.7,3.88,4.046391753,1420,CSIQ
3/1/2018 16:00,15.77,3.88,4.06443299,1420,CSIQ
3/2/2018 16:00,15.85,3.88,4.085051546,1420,CSIQ
3/5/2018 16:00,16.23,3.88,4.182989691,1420,CSIQ
3/6/2018 16:00,16.41,3.88,4.229381443,1420,CSIQ
3/7/2018 16:00,16.4,3.88,4.226804124,1420,CSIQ
3/8/2018 16:00,16.46,3.88,4.242268041,1420,CSIQ
3/9/2018 16:00,16.19,3.88,4.172680412,1420,CSIQ
3/12/2018 16:00,16.19,3.88,4.172680412,1420,CSIQ
3/13/2018 16:00,16.13,3.88,4.157216495,1420,CSIQ
